formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
K$_{3}$Zr$_{4}$Ag$_{2}$F$_{23}$,0.7082999999999999,eV,,,,,,,
H$_{8}$CN$_{2}$(ClO$_{5}$)$_{2}$,4.351,eV,,,,,,,
Ba$_{2}$Ti$_{9}$O$_{20}$,2.7429,eV,,,,,,,
BaNaZrF$_{7}$,6.0585,eV,,,,,,,
K$_{3}$Li$_{3}$TeO$_{6}$,2.6948,eV,,,,,,,
La$_{2}$SnS$_{3}$O$_{2}$,1.6742,eV,,,,,,,
Ba$_{2}$TeP$_{2}$O$_{9}$,3.4201,eV,,,,,,,
AuN$_{5}$O$_{14}$,1.9901,eV,,,,,,,
SbCl$_{3}$F$_{2}$,1.6945000000000001,eV,,,,,,,
CoTeMoO$_{6}$,2.5156000000000005,eV,,,,,,,
SiO$_{2}$,1.36,eV,,,,,,,
RbGa$_{3}$(P$_{3}$O$_{10}$)$_{2}$,4.786,eV,,,,,,,
Rb$_{4}$Nb$_{35}$Al$_{2}$O$_{70}$,0.008099999999999774,eV,,,,,,,
Ba$_{4}$Nd$_{2}$Cu$_{2}$O$_{9}$,0.0,eV,,,,,,,
KNaTiO$_{3}$,3.5351999999999997,eV,,,,,,,
NaSr$_{4}$(BO$_{3}$)$_{3}$,3.9798,eV,,,,,,,
La$_{4}$Ti$_{9}$(Si$_{2}$O$_{15}$)$_{2}$,0.0015000000000000568,eV,,,,,,,
Mg$_{2}$B$_{2}$O$_{5}$,5.1359,eV,,,,,,,
K$_{2}$NaS$_{2}$ClO$_{6}$,5.092,eV,,,,,,,
Sr$_{3}$Cu$_{3}$(PO$_{4}$)$_{4}$,0.2942999999999998,eV,,,,,,,
K$_{3}$Hg$_{3}$S$_{2}$Cl$_{5}$O$_{6}$,2.3158,eV,,,,,,,
K$_{2}$Y$_{4}$Sn$_{2}$S$_{11}$,1.5806,eV,,,,,,,
Nd$_{10}$S$_{19}$,0.5009000000000006,eV,,,,,,,
SbI(ClF$_{3}$)$_{2}$,1.8658,eV,,,,,,,
Cs$_{2}$NaBiF$_{6}$,5.021000000000001,eV,,,,,,,
CsNaTiO$_{3}$,3.3617999999999997,eV,,,,,,,
K$_{2}$Mo$_{3}$O$_{10}$,3.3299,eV,,,,,,,
BaNbTePO$_{8}$,2.7977,eV,,,,,,,
La$_{4}$Mn(Cu$_{3}$S$_{5}$)$_{2}$,1.1272000000000002,eV,,,,,,,
Ba$_{3}$Dy$_{2}$(PS$_{4}$)$_{4}$,2.3736000000000006,eV,,,,,,,
NaNdH$_{2}$S$_{2}$O$_{9}$,5.7376,eV,,,,,,,
GdAl$_{3}$(BO$_{3}$)$_{4}$,2.8769,eV,,,,,,,
Te$_{7}$(OF$_{5}$)$_{6}$,2.3684000000000003,eV,,,,,,,
Ba$_{2}$Si$_{2}$CuO$_{7}$,0.15370000000000017,eV,,,,,,,
Zn$_{2}$In$_{2}$S$_{5}$,0.0,eV,,,,,,,
SiO$_{2}$,5.4481,eV,,,,,,,
KU$_{2}$(PO$_{4}$)$_{3}$,0.008500000000000174,eV,,,,,,,
AlPO$_{4}$,5.4968,eV,,,,,,,
Sr$_{5}$B$_{3}$O$_{9}$F,4.1747,eV,,,,,,,
Ca$_{2}$SiO$_{4}$,4.4276,eV,,,,,,,
Na$_{5}$Lu(WO$_{4}$)$_{4}$,4.658,eV,,,,,,,
La$_{6}$B(NO$_{2}$)$_{3}$,1.0963000000000003,eV,,,,,,,
SiO$_{2}$,5.4244,eV,,,,,,,
MgH$_{8}$C$_{4}$(N$_{3}$O$_{2}$)$_{2}$,4.7911,eV,,,,,,,
Na$_{2}$BeSiO$_{4}$,2.9149,eV,,,,,,,
Nd$_{3}$Si$_{2}$ClO$_{8}$,5.2091,eV,,,,,,,
Na$_{6}$P$_{4}$Pb$_{3}$S$_{16}$,2.3264,eV,,,,,,,
CaH$_{2}$CO$_{4}$,5.217,eV,,,,,,,
B$_{3}$Pb$_{6}$ClO$_{10}$,2.816,eV,,,,,,,
Pr$_{10}$Se$_{14}$O,1.4217999999999997,eV,,,,,,,
SiO$_{2}$,4.9689,eV,,,,,,,
C$_{4}$SeO$_{2}$,1.4248999999999998,eV,,,,,,,
TiS$_{4}$(NCl)$_{4}$,2.0521000000000003,eV,,,,,,,
Cd$_{2}$SiO$_{4}$,1.0232,eV,,,,,,,
Na$_{4}$Zr$_{2}$Ti(CO$_{4}$)$_{4}$,3.1442000000000005,eV,,,,,,,
Cu$_{2}$As$_{4}$S$_{3}$Cl$_{2}$,1.4078000000000004,eV,,,,,,,
Na$_{2}$Li$_{3}$FeO$_{4}$,2.9156,eV,,,,,,,
Nb$_{2}$TlPS$_{10}$,1.3359,eV,,,,,,,
AgSbPbS$_{3}$,1.2706000000000008,eV,,,,,,,
CsIOF$_{4}$,4.9407,eV,,,,,,,
Tb$_{3}$Si$_{2}$S$_{8}$I,2.4541,eV,,,,,,,
Na$_{2}$PtO$_{3}$,1.5638,eV,,,,,,,
Cs$_{2}$KMnF$_{6}$,1.5996,eV,,,,,,,
ThSe$_{2}$O$_{7}$,3.7518,eV,,,,,,,
ZrCuF$_{6}$,0.0,eV,,,,,,,
LiLa(PO$_{3}$)$_{4}$,5.2141,eV,,,,,,,
BaGa$_{2}$B$_{2}$O$_{7}$,3.9802999999999997,eV,,,,,,,
Mg$_{10}$Ge$_{3}$(H$_{2}$O$_{9}$)$_{2}$,3.9070000000000005,eV,,,,,,,
Pr$_{3}$Nb(Cl$_{3}$O$_{2}$)$_{2}$,2.9226,eV,,,,,,,
BaPb$_{2}$C$_{2}$(O$_{3}$F)$_{2}$,4.0572,eV,,,,,,,
K$_{2}$Ge$_{4}$O$_{9}$,3.0055,eV,,,,,,,
CS$_{2}$(NCl)$_{3}$,2.6841,eV,,,,,,,
Mo$_{9}$O$_{26}$,0.6633,eV,,,,,,,
SeO$_{2}$,3.4194,eV,,,,,,,
TaSCl$_{7}$O,2.8496,eV,,,,,,,
CaSiO$_{3}$,3.7120000000000006,eV,,,,,,,
SrSi$_{2}$O$_{5}$,4.0583,eV,,,,,,,
ZnGaNO,0.0,eV,,,,,,,
Ba$_{6}$Na$_{2}$Si$_{4}$O$_{15}$,4.1718,eV,,,,,,,
Li$_{3}$ScF$_{6}$,6.6719,eV,,,,,,,
SnP$_{2}$Cl$_{8}$O$_{3}$,2.8401,eV,,,,,,,
Li$_{4}$Be$_{3}$P$_{3}$ClO$_{12}$,6.2181999999999995,eV,,,,,,,
NaPr(SeO$_{4}$)$_{2}$,3.3477,eV,,,,,,,
CaB$_{3}$H$_{5}$O$_{8}$,5.5945,eV,,,,,,,
RbSb$_{2}$C$_{2}$O$_{4}$F$_{5}$,3.068,eV,,,,,,,
PdSCl,0.9784,eV,,,,,,,
MnF$_{2}$,2.8743,eV,,,,,,,
CdHg$_{2}$SO$_{6}$,1.3171,eV,,,,,,,
Na$_{2}$NpH$_{2}$(CO$_{3}$)$_{3}$,0.1942999999999997,eV,,,,,,,
MoSeS$_{2}$Cl$_{5}$,2.0114,eV,,,,,,,
V$_{3}$S$_{4}$,0.0,eV,,,,,,,
Yb$_{2}$NaLiF$_{8}$,0.0,eV,,,,,,,
Na$_{5}$Y(CO$_{3}$)$_{4}$,4.2043,eV,,,,,,,
SiO$_{2}$,5.610799999999999,eV,,,,,,,
NaAlAs$_{2}$O$_{7}$,2.7304000000000004,eV,,,,,,,
AgPb$_{4}$ClO$_{4}$,2.4101000000000004,eV,,,,,,,
Tl$_{2}$Cr$_{3}$O$_{12}$,1.7286000000000001,eV,,,,,,,
Y$_{4}$Al$_{2}$O$_{9}$,4.361,eV,,,,,,,
Sb$_{2}$IBr$_{2}$F$_{11}$,1.6859000000000002,eV,,,,,,,
Na$_{3}$CrF$_{6}$,4.0586,eV,,,,,,,
Na$_{2}$Zn$_{5}$(PO$_{4}$)$_{4}$,3.6589,eV,,,,,,,
Rb$_{2}$NaCrF$_{6}$,3.9409,eV,,,,,,,
Na$_{3}$Si$_{3}$SnO$_{9}$F,3.8343,eV,,,,,,,
NaLaP$_{2}$O$_{7}$,4.4754000000000005,eV,,,,,,,
SiO$_{2}$,5.7701,eV,,,,,,,
Cs$_{4}$Ba(PO$_{3}$)$_{6}$,5.106400000000001,eV,,,,,,,
Ag$_{4}$S(NO)$_{2}$,0.6701999999999999,eV,,,,,,,
K$_{2}$NaTlO$_{3}$,1.255,eV,,,,,,,
SiO$_{2}$,4.478800000000001,eV,,,,,,,
Cs$_{2}$KCrF$_{6}$,4.067,eV,,,,,,,
KTl$_{2}$MoF$_{6}$,2.5052000000000003,eV,,,,,,,
ReSF$_{4}$,0.012399999999999967,eV,,,,,,,
H$_{11}$C$_{10}$NO$_{8}$,2.7752,eV,,,,,,,
Rb$_{2}$NaMoF$_{6}$,4.221900000000001,eV,,,,,,,
K$_{3}$Sm(AsS$_{4}$)$_{2}$,1.6795000000000002,eV,,,,,,,
K$_{4}$Mn(AsS$_{4}$)$_{2}$,1.0475,eV,,,,,,,
K$_{2}$RuNCl$_{5}$O,1.7987999999999997,eV,,,,,,,
SiO$_{2}$,5.4387,eV,,,,,,,
BeAl$_{6}$O$_{10}$,5.8086,eV,,,,,,,
KNiF$_{3}$,4.5488,eV,,,,,,,
KTiPS$_{5}$,1.2200000000000002,eV,,,,,,,
Ba$_{4}$Al$_{2}$O$_{7}$,3.5745,eV,,,,,,,
NaMg$_{4}$(PO$_{4}$)$_{3}$,4.6212,eV,,,,,,,
K$_{2}$Cd(NO$_{2}$)$_{4}$,2.4568,eV,,,,,,,
AsSe$_{2}$S(NF$_{3}$)$_{2}$,1.5689,eV,,,,,,,
CaAl$_{12}$Si$_{4}$O$_{27}$,5.236199999999999,eV,,,,,,,
Y(IO$_{3}$)$_{3}$,3.4466,eV,,,,,,,
KVF$_{4}$,1.9296000000000002,eV,,,,,,,
SiO$_{2}$,5.5774,eV,,,,,,,
Nb$_{3}$Se$_{4}$,0.0,eV,,,,,,,
Ca(AsRu)$_{2}$,0.0,eV,,,,,,,
Cs$_{4}$KLiFe$_{2}$F$_{12}$,4.0828,eV,,,,,,,
SINOF$_{2}$,2.1589,eV,,,,,,,
Ti$_{4}$O$_{7}$,0.0,eV,,,,,,,
SrBi$_{6}$(PO$_{5}$)$_{4}$,3.5083999999999995,eV,,,,,,,
Ca(PO$_{3}$)$_{2}$,5.5318000000000005,eV,,,,,,,
Li$_{2}$Ta$_{2}$(OF$_{2}$)$_{3}$,3.8335999999999997,eV,,,,,,,
Sr$_{3}$Cu$_{3}$(PO$_{4}$)$_{4}$,0.5370999999999997,eV,,,,,,,
Ga$_{2}$PbO$_{4}$,3.4226,eV,,,,,,,
Y$_{9}$C$_{4}$I$_{8}$O,0.0,eV,,,,,,,
Cs$_{8}$Tl$_{8}$O,0.2062999999999997,eV,,,,,,,
Na$_{3}$Sc$_{2}$(BO$_{3}$)$_{3}$,3.7232000000000003,eV,,,,,,,
NbP$_{4}$(SCl)$_{5}$,1.5812000000000002,eV,,,,,,,
SrMgF$_{4}$,6.6872,eV,,,,,,,
Eu$_{2}$Ca(CuO$_{3}$)$_{2}$,0.016899999999999693,eV,,,,,,,
AlPO$_{4}$,5.5314,eV,,,,,,,
CsCu$_{5}$S$_{3}$,0.32530000000000037,eV,,,,,,,
Ag$_{9}$Ge$_{2}$IO$_{8}$,0.0,eV,,,,,,,
CoF$_{3}$,0.0,eV,,,,,,,
Ba$_{8}$Ce$_{3}$(SbO$_{6}$)$_{4}$,1.8772000000000006,eV,,,,,,,
Sr$_{6}$(RhO$_{3}$)$_{5}$,1.3194,eV,,,,,,,
NaCe(PO$_{3}$)$_{4}$,0.18009999999999948,eV,,,,,,,
BaCaSiO$_{4}$,4.3673,eV,,,,,,,
Rb$_{2}$Sb$_{4}$S$_{7}$,1.834,eV,,,,,,,
Ba$_{4}$Na$_{2}$CaTi$_{3}$Si$_{4}$(SO$_{13}$)$_{2}$,2.1206000000000005,eV,,,,,,,
RbB$_{3}$O$_{5}$,5.6999,eV,,,,,,,
SbP$_{2}$O$_{7}$,2.0547,eV,,,,,,,
Na$_{3}$Ga(PO$_{4}$)$_{2}$,4.0408,eV,,,,,,,
NaSb$_{3}$(PO$_{5}$)$_{2}$,3.8478,eV,,,,,,,
MgTi$_{2}$(PO$_{5}$)$_{2}$,3.1210999999999993,eV,,,,,,,
TlS,0.8102,eV,,,,,,,
KRb$_{2}$FeF$_{6}$,4.0965,eV,,,,,,,
BiAsO$_{4}$,2.7541999999999995,eV,,,,,,,
FeBiO$_{3}$,1.6657,eV,,,,,,,
Sr$_{2}$DySbO$_{6}$,3.6563,eV,,,,,,,
H$_{14}$RhC$_{6}$NClO$_{4}$,1.7589000000000001,eV,,,,,,,
Na$_{2}$CdSnS$_{4}$,1.9195999999999998,eV,,,,,,,
La$_{3}$GaS$_{5}$O,1.1964999999999995,eV,,,,,,,
Rb$_{2}$CoF$_{6}$,1.179,eV,,,,,,,
CdBiS$_{2}$Br,1.9500000000000002,eV,,,,,,,
CuH$_{10}$C$_{2}$(NO)$_{8}$,0.8346000000000001,eV,,,,,,,
Na$_{3}$Bi(PO$_{4}$)$_{2}$,4.2075,eV,,,,,,,
Nd$_{4}$Al$_{2}$O$_{9}$,4.0823,eV,,,,,,,
CaSiO$_{3}$,4.707999999999999,eV,,,,,,,
Ba$_{3}$LaIr$_{2}$O$_{9}$,0.0,eV,,,,,,,
SiO$_{2}$,5.5448,eV,,,,,,,
LiHo$_{3}$Ge$_{2}$(O$_{4}$F)$_{2}$,4.1635,eV,,,,,,,
Yb$_{2}$PrDyS$_{6}$,1.2582,eV,,,,,,,
LiUPO$_{6}$,2.1007000000000002,eV,,,,,,,
Ba$_{4}$Os$_{6}$ClO$_{18}$,0.0,eV,,,,,,,
BaUO$_{4}$,2.1144,eV,,,,,,,
InBiO$_{3}$,2.3884000000000007,eV,,,,,,,
BaTa$_{2}$O$_{6}$,2.061,eV,,,,,,,
Ga(IO$_{3}$)$_{3}$,3.3088,eV,,,,,,,
Y(IO$_{3}$)$_{3}$,3.5241,eV,,,,,,,
SiPb$_{4}$(ClO)$_{4}$,3.5302999999999995,eV,,,,,,,
Zn$_{2}$SeCl$_{2}$O$_{3}$,4.0939000000000005,eV,,,,,,,
Ag$_{2}$BiO$_{3}$,0.5019999999999998,eV,,,,,,,
SXeO$_{3}$F$_{2}$,2.4655,eV,,,,,,,
ZnS,2.0338,eV,,,,,,,
CsTi$_{3}$P$_{5}$O$_{19}$,2.8059,eV,,,,,,,
Gd$_{2}$SnS$_{5}$,0.061200000000000365,eV,,,,,,,
U$_{2}$AuF$_{11}$,0.0,eV,,,,,,,
Ho$_{3}$Se$_{4}$O$_{12}$F,3.7086,eV,,,,,,,
Ba$_{5}$P$_{3}$BrO$_{12}$,4.963699999999999,eV,,,,,,,
Nd$_{3}$Si$_{2}$S$_{8}$I,2.5479999999999996,eV,,,,,,,
K$_{2}$Ce(NO$_{3}$)$_{6}$,1.4733,eV,,,,,,,
Pr(MoO$_{2}$)$_{6}$,0.45230000000000015,eV,,,,,,,
Na$_{3}$GaS$_{3}$,2.6125,eV,,,,,,,
NaGd(PO$_{3}$)$_{4}$,3.3573000000000004,eV,,,,,,,
K$_{2}$Ge$_{2}$PbS$_{6}$,2.1955999999999998,eV,,,,,,,
Sr$_{5}$Nb$_{4}$O$_{15}$,2.5561000000000003,eV,,,,,,,
Sn$_{2}$SbS$_{2}$I$_{3}$,0.6246999999999998,eV,,,,,,,
RbGd(PO$_{3}$)$_{4}$,3.4694000000000003,eV,,,,,,,
KYP$_{2}$O$_{7}$,5.2001,eV,,,,,,,
Sr$_{3}$CePC$_{3}$O$_{13}$,0.21169999999999956,eV,,,,,,,
Ba$_{2}$BiRuO$_{6}$,0.0,eV,,,,,,,
Ce$_{2}$O$_{3}$,0.0,eV,,,,,,,
Yb(ClO$_{4}$)$_{3}$,0.0,eV,,,,,,,
XeF$_{3}$,2.4833999999999996,eV,,,,,,,
La(BO$_{2}$)$_{3}$,4.1959,eV,,,,,,,
Sr$_{3}$Y$_{2}$(BO$_{3}$)$_{4}$,4.4415000000000004,eV,,,,,,,
NbP$_{4}$(S$_{2}$Cl)$_{5}$,1.1953,eV,,,,,,,
K$_{3}$(MoO$_{3}$)$_{10}$,0.0,eV,,,,,,,
VBi$_{2}$O$_{5}$,0.10060000000000002,eV,,,,,,,
Na$_{2}$ZrGe$_{2}$O$_{7}$,3.6856000000000004,eV,,,,,,,
Nd$_{2}$Zr$_{2}$O$_{7}$,0.0,eV,,,,,,,
Ba$_{3}$ZrRu$_{2}$O$_{9}$,0.0,eV,,,,,,,
BaBi$_{4}$(BrO$_{3}$)$_{2}$,0.0,eV,,,,,,,
Y$_{3}$SiCuS$_{7}$,1.7418999999999993,eV,,,,,,,
Ba$_{2}$Cu$_{4}$Te$_{4}$Cl$_{4}$O$_{11}$,0,eV,,,,,,,
Sb$_{2}$POF$_{13}$,4.0801,eV,,,,,,,
Ba$_{2}$CuIO$_{2}$,2.2565999999999997,eV,,,,,,,
SiO$_{2}$,5.6107,eV,,,,,,,
Ba$_{4}$Tl$_{2}$Cu$_{2}$HgO$_{10}$,0.0,eV,,,,,,,
KCrF$_{6}$,1.3980000000000001,eV,,,,,,,
Cs$_{2}$Sn$_{2}$Hg$_{3}$S$_{8}$,1.6112,eV,,,,,,,
NdGa$_{3}$(BO$_{3}$)$_{4}$,4.3389999999999995,eV,,,,,,,
Rb$_{6}$Si$_{10}$O$_{23}$,4.0163,eV,,,,,,,
NaAu(SO$_{4}$)$_{2}$,1.7422,eV,,,,,,,
BaFeF$_{5}$,3.7032,eV,,,,,,,
La$_{10}$S$_{14}$O,1.9410999999999996,eV,,,,,,,
BaTlVO$_{4}$,3.5439,eV,,,,,,,
ZnS,2.027,eV,,,,,,,
TaF$_{5}$,5.5329999999999995,eV,,,,,,,
Na$_{3}$MnF$_{6}$,1.6641,eV,,,,,,,
K$_{6}$NbAs$_{3}$O,1.0121000000000002,eV,,,,,,,
F$_{2}$,2.476,eV,,,,,,,
AgC$_{4}$OF$_{9}$,2.3671,eV,,,,,,,
UV$_{2}$O$_{8}$,2.1574999999999998,eV,,,,,,,
SbH$_{3}$CSCl$_{6}$O,2.0032,eV,,,,,,,
CuGeO$_{3}$,0.0,eV,,,,,,,
KP$_{2}$Au$_{5}$S$_{8}$,1.4084,eV,,,,,,,
K$_{2}$HgBr$_{2}$(NO$_{6}$)$_{2}$,1.9283000000000001,eV,,,,,,,
TeO$_{2}$,2.9779999999999998,eV,,,,,,,
BTe$_{3}$(OF$_{5}$)$_{3}$,3.7899,eV,,,,,,,
Rb$_{4}$Te$_{8}$O$_{23}$,1.2942999999999998,eV,,,,,,,
NaSm(PS$_{3}$)$_{2}$,2.7929999999999997,eV,,,,,,,
Sm$_{9}$(SbO)$_{5}$,0.0,eV,,,,,,,
BaNaZr$_{2}$F$_{11}$,5.699199999999999,eV,,,,,,,
AsCSF$_{11}$,4.5943,eV,,,,,,,
Pb$_{13}$(Cl$_{3}$O$_{5}$)$_{2}$,1.8938000000000001,eV,,,,,,,
LiCaBO$_{3}$,5.040100000000001,eV,,,,,,,
AlFeF$_{5}$,4.3770999999999995,eV,,,,,,,
Mo$_{5}$O$_{14}$,0,eV,,,,,,,
USb$_{3}$O$_{2}$F$_{17}$,2.4478,eV,,,,,,,
TaAgS$_{3}$,0.0,eV,,,,,,,
Sr$_{2}$CuClO$_{2}$,2.3842999999999996,eV,,,,,,,
AsCSCl$_{2}$F$_{9}$,3.8103,eV,,,,,,,
Sr$_{8}$Si$_{2}$PtO$_{14}$,2.2539999999999996,eV,,,,,,,
Al$_{2}$Si$_{2}$Pb$_{2}$O$_{9}$,2.7575000000000003,eV,,,,,,,
SmCuTeS,0.09370000000000012,eV,,,,,,,
Ba$_{17}$Er$_{16}$Zn$_{8}$Pt$_{4}$O$_{57}$,2.3049,eV,,,,,,,
Rb$_{2}$Y(NO$_{3}$)$_{5}$,3.3341,eV,,,,,,,
Ba$_{3}$Lu(BO$_{2}$)$_{9}$,5.247299999999999,eV,,,,,,,
NaLi$_{3}$GeO$_{4}$,3.6606,eV,,,,,,,
ZnBi$_{6}$P$_{2}$(O$_{7}$F)$_{2}$,2.5947999999999998,eV,,,,,,,
Ba$_{2}$TiOF$_{6}$,3.8913,eV,,,,,,,
LiPr$_{2}$C$_{2}$N$_{4}$F$_{3}$,3.7057999999999995,eV,,,,,,,
ZnS,2.0288,eV,,,,,,,
Na$_{3}$NbOF$_{6}$,5.0991,eV,,,,,,,
Na$_{2}$CaP$_{2}$O$_{7}$,4.954700000000001,eV,,,,,,,
CePS$_{4}$,0.0754999999999999,eV,,,,,,,
NaSrCrF$_{6}$,4.0144,eV,,,,,,,
As$_{3}$Pb$_{2}$ClO$_{6}$,3.393,eV,,,,,,,
SnH$_{4}$C$_{2}$NO$_{4}$F,2.6395,eV,,,,,,,
K$_{2}$PbO$_{3}$,1.1332,eV,,,,,,,
Na$_{3}$Li$_{3}$Fe$_{2}$F$_{12}$,4.0681,eV,,,,,,,
CdGaH$_{14}$O$_{7}$F$_{5}$,4.338,eV,,,,,,,
ZnS,2.0218000000000003,eV,,,,,,,
SrMnV$_{2}$(AgO$_{4}$)$_{2}$,1.8942,eV,,,,,,,
K$_{3}$LiIrO$_{4}$,0.39849999999999985,eV,,,,,,,
K$_{2}$BiF$_{5}$,4.7686,eV,,,,,,,
SiO$_{2}$,5.241,eV,,,,,,,
SrLi$_{2}$Nb$_{2}$O$_{7}$,1.4673,eV,,,,,,,
As$_{2}$Pb$_{4}$S$_{6}$ICl,1.8290000000000002,eV,,,,,,,
H$_{14}$C$_{3}$NF$_{5}$,7.3363,eV,,,,,,,
SiO$_{2}$,1.9962,eV,,,,,,,
NaSb(PS$_{3}$)$_{2}$,2.1465,eV,,,,,,,
KAg$_{3}$As$_{2}$S$_{5}$,1.6822999999999997,eV,,,,,,,
BaZnSiO$_{4}$,3.5871000000000004,eV,,,,,,,
NbCoO$_{4}$,1.6468,eV,,,,,,,
DySCl,2.7617000000000003,eV,,,,,,,
CuH$_{14}$C$_{3}$NCl$_{3}$O$_{2}$,0.6228,eV,,,,,,,
Na(CO)$_{3}$,0.9446,eV,,,,,,,
NaLiCO$_{3}$,4.313400000000001,eV,,,,,,,
KHfCuF$_{7}$,0.3462,eV,,,,,,,
Si$_{2}$Ag$_{6}$O$_{7}$,0.30810000000000004,eV,,,,,,,
Cs$_{3}$AlGe$_{2}$O$_{7}$,3.6471999999999998,eV,,,,,,,
Rb$_{2}$NiF$_{4}$,4.7128000000000005,eV,,,,,,,
Ba$_{2}$AlCu$_{2}$F$_{11}$,0.5741999999999999,eV,,,,,,,
PbS,1.6709,eV,,,,,,,
AsSeS$_{2}$N$_{2}$ClF$_{6}$,2.2262,eV,,,,,,,
LuSeO$_{3}$F,3.9052,eV,,,,,,,
SbSe(BrF$_{2}$)$_{3}$,2.5975,eV,,,,,,,
SeS$_{2}$(NCl)$_{2}$,1.7656999999999998,eV,,,,,,,
Na$_{3}$Li$_{3}$Cr$_{2}$F$_{12}$,4.0883,eV,,,,,,,
Li$_{2}$Mg$_{2}$Si$_{4}$O$_{11}$,4.9276,eV,,,,,,,
Rb$_{2}$CrF$_{5}$,3.4227,eV,,,,,,,
Na$_{2}$ZrGeO$_{5}$,3.4539,eV,,,,,,,
KCoF$_{3}$,0.0,eV,,,,,,,
AlBiSCl$_{4}$,2.8305,eV,,,,,,,
SiO$_{2}$,5.4512,eV,,,,,,,
BaNa$_{2}$Ti$_{2}$(Si$_{2}$O$_{7}$)$_{2}$,3.3673,eV,,,,,,,
NaZr$_{2}$MnF$_{11}$,4.2206,eV,,,,,,,
TiSCl$_{6}$O,2.6524,eV,,,,,,,
Cs$_{2}$UP$_{2}$O$_{9}$,2.1519999999999997,eV,,,,,,,
TiNb$_{3}$Cl$_{7}$O$_{2}$,0.0,eV,,,,,,,
V$_{3}$CdO$_{7}$,2.2417,eV,,,,,,,
Ca(ClO$_{2}$)$_{2}$,2.5666,eV,,,,,,,
F$_{2}$,2.3942,eV,,,,,,,
NaClO$_{4}$,5.2431,eV,,,,,,,
K$_{3}$Bi$_{2}$(AsO$_{4}$)$_{3}$,3.3384,eV,,,,,,,
S,2.362,eV,,,,,,,
CuMoO$_{4}$,0.0,eV,,,,,,,
CaTeO$_{3}$,3.1241000000000003,eV,,,,,,,
Pr$_{10}$S$_{19}$,0.5101000000000004,eV,,,,,,,
K$_{4}$Mn$_{3}$F$_{12}$,0.84,eV,,,,,,,
GaRe(Cl$_{3}$O)$_{2}$,1.9707,eV,,,,,,,
Ag$_{2}$Te$_{4}$O$_{11}$,1.1402,eV,,,,,,,
NbBi$_{4}$BrO$_{8}$,1.4756999999999998,eV,,,,,,,
CsOsNO$_{3}$,2.9529,eV,,,,,,,
ZrF$_{4}$,4.8934,eV,,,,,,,
SrTeO$_{3}$,3.4130999999999996,eV,,,,,,,
K$_{2}$Hg$_{3}$C$_{8}$(NO)$_{8}$,3.3064,eV,,,,,,,
FeBiO$_{3}$,0.5996000000000006,eV,,,,,,,
YbLi(PO$_{3}$)$_{4}$,0.0,eV,,,,,,,
TcSO$_{6}$F,2.721,eV,,,,,,,
SrTeO$_{3}$,3.4746999999999995,eV,,,,,,,
Li$_{3}$CrF$_{6}$,3.9644000000000004,eV,,,,,,,
SO$_{3}$,5.1414,eV,,,,,,,
Li$_{3}$BS$_{3}$,3.0495,eV,,,,,,,
NaZr$_{2}$AgF$_{11}$,0.0,eV,,,,,,,
SnH$_{8}$(CO)$_{4}$,4.481,eV,,,,,,,
RbGaS$_{2}$,2.4690000000000003,eV,,,,,,,
CaCO$_{3}$,4.9539,eV,,,,,,,
Tb$_{3}$Rb$_{2}$AlF$_{16}$,0.0,eV,,,,,,,
K$_{3}$Hg$_{3}$S$_{2}$Br$_{5}$O$_{6}$,1.999,eV,,,,,,,
Zr$_{3}$O,0.0,eV,,,,,,,
V$_{2}$FeS$_{4}$,0,eV,,,,,,,
ZrTlCdF$_{7}$,2.2065,eV,,,,,,,
KAlF$_{4}$,6.9091,eV,,,,,,,
NiF$_{3}$,0,eV,,,,,,,
LiLuF$_{4}$,7.901199999999999,eV,,,,,,,
KPuCO$_{5}$,0.4342999999999999,eV,,,,,,,
Rb$_{2}$Sn$_{2}$Hg$_{3}$S$_{8}$,1.6569999999999998,eV,,,,,,,
Al$_{2}$Ge(O$_{2}$F)$_{2}$,4.0658,eV,,,,,,,
Fe$_{2}$Se$_{2}$O$_{7}$,2.062,eV,,,,,,,
Y$_{2}$GeO$_{5}$,4.2355,eV,,,,,,,
Y$_{2}$Hf$_{2}$O$_{7}$,3.3374000000000006,eV,,,,,,,
Ba$_{3}$(PS$_{4}$)$_{2}$,1.9872000000000005,eV,,,,,,,
BaCa(GaO$_{2}$)$_{4}$,3.0641999999999996,eV,,,,,,,
K$_{3}$AlB$_{8}$O$_{15}$,5.0001,eV,,,,,,,
Na$_{4}$Ce(As$_{2}$O$_{7}$)$_{2}$,1.5515,eV,,,,,,,
OsOF$_{4}$,0.6713,eV,,,,,,,
BaV$_{2}$CuO$_{7}$,0.7192000000000001,eV,,,,,,,
KAu(SO$_{4}$)$_{2}$,1.4475,eV,,,,,,,
Ba$_{8}$Sb$_{6}$S$_{17}$,1.3935,eV,,,,,,,
Na$_{3}$FeS$_{3}$,0.0,eV,,,,,,,
CsAlSiO$_{4}$,4.458200000000001,eV,,,,,,,
Na$_{4}$Sc$_{2}$(PO$_{4}$)$_{3}$,0.3633999999999995,eV,,,,,,,
Cs$_{2}$KMnF$_{6}$,0.0,eV,,,,,,,
